paragraphs,question,answer
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Tại miền Bắc, Chủ tịch Hồ Chí Minh xem những đảng phái quốc gia thân Trung Hoa Dân Quốc như Việt Cách, Việt Quốc là bọn quốc gia giả hiệu, đầy tớ Quốc dân Đảng, không có liên hệ gì với nhân dân Việt Nam. Ông miêu tả họ là những người không có tổ chức, một nhóm cơ hội tranh giành nhau, tàn dư của các đảng phái quốc gia cũ không có chương trình hành động cơ bản nhưng lại có quá nhiều lãnh tụ. Theo sử gia Trần Trọng Kim thì Việt Quốc, Việt Cách có thế lực nhờ quân đội Trung Hoa Dân Quốc hỗ trợ, nhưng không thống nhất và không có kỷ luật chặt chẽ, tuyên truyền nhiều mà không làm được việc gì đáng kể. Sĩ quan OSS (cơ quan tình báo Mỹ) Archimedes L.A Patti mô tả: ""họ mang theo cao vọng là sẽ nắm trọn quyền lãnh đạo đất nước nhưng lại quá kém về tổ chức và không có được một chương trình hành động ra hồn. Họ đã sống tập trung nhiều năm ở Quảng Tây dưới sự che chở của Trương Phát Khuê và ngẫu nhiên trở nên chống Pháp. Liên minh Đồng minh Hội đầy tham vọng và rạn nứt, đã bị lạc lõng. Việt Nam Quốc Dân Đảng và Đại Việt cũng tách khỏi liên minh và tìm cách giành cho mình quyền lãnh đạo... Sự chia rẽ đã làm lợi cho Việt Nam suốt trong 6 tháng sau và những người Quốc gia thân Trung Quốc đã tự mình cô lập khỏi đông đảo quần chúng, đúng như Hồ Chí Minh đã dự đoán.""', 'is_supporting': False}]","Nguyên nhân nào đã đẩy Việt Cách, Việt Quốc rời xa khỏi lý tưởng của Trung Quốc?",'Việt Nam Quốc Dân Đảng và Đại Việt cũng tách khỏi liên minh và tìm cách giành cho mình quyền lãnh đạo'
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Sau khi ký Hiệp định sơ bộ, trong cuộc mitting ngày 7/3/1945, Hồ Chí Minh giải thích về việc ký kết hiệp định ""Chúng ta trên thực tế đã độc lập từ tháng 8/1945, nhưng cho đến nay chưa có cường quốc nào công nhận độc lập của chúng ta. Bản hiệp định ký với nước Pháp này mở đường cho sự công nhận của quốc tế. Bản hiệp định sẽ dẫn chúng ta đến một vị trí quốc tế ngày càng vững vàng và đó là một thắng lợi chính trị lớn lao. Quân đội Pháp sẽ đến theo lệnh của các nước Đồng Minh. Họ chỉ có 15000 người và chỉ ở lại trong 5 năm nữa, sau đó họ sẽ rút khỏi nước ta. Chọn thương lượng thay vì đánh nhau chính là bằng chứng hiểu biết về chính trị. Thực vậy, vì sao lại đi hy sinh 50 hoặc 100 ngàn người trong khi chúng ta có khả năng bằng con đường thương lượng mà đi đến độc lập có thể trong 5 năm"". Còn Võ Nguyên Giáp phân tích ""Những người không thỏa mãn chỉ hiểu độc lập hoàn toàn như một khẩu hiệu, một nhật lệnh, trên giấy tờ hoặc ngoài cửa miệng. Họ không thấy rằng độc lập của đất nước là kết quả của những điều kiện khách quan và trong cuộc chiến đấu giành độc lập của chúng ta, phải biết cương nhu tùy lúc... Chúng ta đã chọn con đường thương lượng nhằm tạo ra những điều kiện thuận lợi cho công cuộc đấu tranh giành độc lập hoàn toàn, nhằm có thể đợi chờ cơ hội đi đến một nền độc lập nguyên vẹn"". Ngày 12/3/1946, bộ trưởng ngoại giao Nguyễn Tường Tam tuyên bố ""Trung Quốc và Mỹ có nhiệm vụ bảo vệ cho hòa bình ở Viễn Đông... Trong lúc chờ đợi nước Pháp và nước Việt Nam lập lại được một nền hòa bình vững chắc, nước Mỹ phải giúp đỡ chúng ta về mọi phương diện hoàn toàn như Trung Quốc"".', 'is_supporting': False}]","Theo Hồ Chí Minh, mục đích Võ Nguyên Giáp chọn con đường thương lượng là gì?","'tạo ra những điều kiện thuận lợi cho công cuộc đấu tranh giành độc lập hoàn toàn, nhằm có thể đợi chờ cơ hội đi đến một nền độc lập nguyên vẹn'"
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Ngày 5 tháng 6 năm 1948, Bảo Đại và Bollaert ký kết Hiệp định tại Vịnh Hạ Long trong đó Pháp tuyên bố ""trịnh trọng công nhận nền độc lập của Việt Nam"", nhưng đặc biệt Pháp chỉ giữ lại quyền kiểm soát công tác đối ngoại và quân đội, việc chuyển giao các chức năng khác của chính phủ sẽ được giải quyết ở các cuộc thương lượng sau. Thực tế người Việt Nam (Quốc gia Việt Nam) chẳng được trao cho quyền hành gì. Việt Minh chỉ trích Bảo Đại là xấu xaai?, tội lỗi vì đã giành được hai chữ độc lập trong thỏa thuận với Pháp, điều mà Hồ Chí Minh đã cố gắng giành giật ở Hội nghị Fontainebleu nhưng không được. Sau khi ký Hiệp định này, Bảo Đại sang châu Âu. Ngày 25/8/1948, Bảo Đại báo cho phía Pháp biết ông sẽ không về nước nếu chế độ thuộc địa ở Nam Kỳ không bị hủy bỏ. Ngày hôm sau, các bộ trưởng ở Paris phát biểu: ""thật sự hắn đã bắt đầu bất chấp cả chúng ta"". Có khá nhiều điều cho thấy Bảo Đại không phải chỉ là một tên bù nhìn và ""vua hộp đêm"" như mọi người vẫn tưởng. Bảo Đại đã ký Hiệp định Elysée để nhằm một khi nắm chính quyền, ông có thể chơi ván bài quốc tế theo kiểu của ông. Ông đã đặt lòng tin vào sự ủng hộ của Mỹ mà ông hy vọng sẽ kiềm chế được Pháp và cung cấp cho Việt Nam viện trợ kinh tế cần thiết. L.A Patti nhận xét Bảo Đại vừa là một nhà chính trị vừa là một người dân tộc chủ nghĩa.', 'is_supporting': False}]",Hiệp ước châu Âu được ký kết bởi ai?,'Bảo Đại và Bollaert'
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Hoàn thành việc đánh rộng ra vùng đồng bằng, Pháp quyết định tiến công lên Việt Bắc để sớm kết thúc chiến tranh. Ngày 7 tháng 10 năm 1947, cuộc hành quân Léa tấn công vào chiến khu Việt Bắc bắt đầu. Quân Pháp tiến nhanh nhưng đã không định vị được những nơi đóng các cơ quan đầu não của đối phương. Lực lượng vũ trang của Việt Nam Dân chủ Cộng hòa nhanh chóng được phân tán, sử dụng du kích vận động chiến, bất thần phục kích, đánh tiêu hao quân Pháp ở những khu vực hiểm yếu. Pháp không đạt được mục đích tiêu diệt căn cứ Việt Bắc, nhưng cũng đã cắt được đường số 4 và kiểm soát biên giới Việt Trung, cô lập Việt Nam Dân chủ Cộng hòa với thế giới bên ngoài.', 'is_supporting': False}]",Khi nào chiến dịch tấn công Pháp bắt đầu?,'Ngày 7 tháng 10 năm 1947'
"[{'idx': 0, 'title': 'Việt Nam', 'paragraph_text': 'Việt Nam là một quốc gia đa tôn giáo và tín ngưỡng. Cộng đồng các dân tộc tại Việt Nam đều có tín ngưỡng dân gian từ lâu đời. Phật giáo du nhập vào Việt Nam từ những năm đầu Tây lịch (có giả thuyết cho rằng vào thế kỷ I trước Tây lịch), cùng với Nho giáo và Đạo giáo, Phật giáo là tôn giáo chính và quan trọng đặt nền móng cho văn hóa Việt Nam, phát triển cực thịnh và đã từng là quốc giáo ở thời nhà Lý và nhà Trần. Sự dung hòa Phật – Nho – Lão tạo thành một nét tôn giáo nền tảng văn hóa độc đáo được gọi là Tam giáo ""đồng nguyên"". Thiên chúa giáo cũng như các tôn giáo phương Tây như Tin Lành du nhập vào Việt Nam khoảng sau thế kỷ XVIII, Hồi giáo truyền vào miền Trung vào thời kỳ thịnh vượng của các vương triều Hồi giáo ở Ấn Độ vào đồng bào Chăm. Ngoài ra, dung hợp và biến thể của các tôn giáo thế giới, Việt Nam còn có một số tôn giáo nội sinh như đạo Cao Đài (dung hòa giữa Phật giáo, Thiên chúa giáo và Lão giáo cùng với các niềm tin khác, tuy nhiên khác với Phật giáo, đạo Cao Đài là tôn giáo thờ thần) và đạo Hòa Hảo (phát triển từ tứ ân của nhà Phật, hình thành triết lý giáo dục con người dựa trên lời dạy của giáo chủ). Bên cạnh đó, có một lượng đáng kể người dân tự nhận mình là người không tôn giáo.', 'is_supporting': False}]",Ngoài Phật giáo thì những tôn giáo nào khác là những tôn giáo chình và đặt nền móng cho văn hóa Việt Nam nhưng đã không còn tồn tại?,'Nho giáo và Đạo giáo'
"[{'idx': 0, 'title': 'Nhà Minh', 'paragraph_text': 'Kinh tế thời Minh vẫn lấy kinh tế tiểu nông tự cấp tự túc làm chủ yếu. Nông nghiệp thời Minh bất kể là sản lượng hay công cụ sản xuất đều ở mức cao hơn triều đại trước. Các loại cây trồng cao sản có nguồn gốc từ châu Mỹ như khoai lang, bí ngô, khoai tây, ngô, bông dần được đưa đến Trung Quốc trong thế kỷ XVI, trong đó bông được trồng đặc biệt phổ biến. Ngoài ra, khoai lang và ngô là các cây trồng tương đối đễ dàng, có thể trồng ở các khu vực có thổ nhưỡng tương đối khá cằn cỗi, có ý nghĩa đặc biệt quan trọng khi mà nhu cầu lương thực ngày càng tăng trong hai thời đại Minh-Thanh. Những năm Vạn Lịch tổng diện tích đất canh tác ước đạt quá bảy triệu khoảnh, tạo cơ sở bền vững cho tăng trưởng nhân khẩu đều đặn từ thời Vạn Lịch. Thời Nam Tống, có lưu hành câu nói ""Tô-Thường được mùa, thiên hạ no đủ"", về sau do cư dân thành thị gia tăng nhanh chóng tại khu vực hạ du Trường Giang, cộng thêm khu vực trung du Trường Giang được khai thác phát triển nhanh chóng, đến thời kỳ giữa và cuối triều Minh, đã chuyển biến thành ""Hồ Quảng được mùa, thiên hạ no đủ"", ý là khu vực sản xuất lương thực chủ yếu đương thời đã chuyển đến khu vực Hồ Quảng, chính là khu vực Hồ Bắc và Hồ Nam ngày nay. Từ cuối thời Minh về sau, lương thực của Hồ Quảng bắt đầu được vận chuyển đường dài đến các khu vực [Giang-Chiết, Mân-Quảng để bán, khiến nông dân địa phương bắt đầu chuyển đổi sang loại cây trồng thương phẩm. Nông nghiệp mang tính thương nghiệp phát triển, cộng thêm xuất hiện giao thông đường dài, đều mang đến lợi ích cho sự phát triển công thương nghiệp.', 'is_supporting': False}]",Các khu vực nào được người châu Mỹ vận chuyển lương thực đến bán?,"'Giang-Chiết, Mân-Quảng'"
"[{'idx': 0, 'title': 'Giáo hoàng Gioan Phaolô II', 'paragraph_text': 'Giáo hoàng Gioan Phaolô II phản đối quan điểm cho rằng nên dùng bao cao su trong việc phòng chống HIV mà chỉ nên sử dụng các biện pháp tuyên truyền giáo dục về tầm quan trọng của mạng sống cũng như việc sinh hoạt tình dục điều độ và có ý thức. Điều này đã vấp phải sự chỉ trích kịch liệt từ giới y khoa và những nhà hoạt động xã hội về lĩnh vực bệnh AIDS, những người này cho rằng quan điểm của Giáo hoàng sẽ gây ra cái chết cho hàng triệu người và khiến hàng triệu người mồ côi vì bệnh AIDS. Những người chỉ trích còn cho rằng các gia đình quá đông con là nguyên nhân của việc thiếu kế hoạch hóa gia đình và làm tăng thêm sự nghèo khó ở các nước thế giới thứ ba cũng như các vấn nạn khác, ví dụ nạn trẻ em đường phố ở Nam Phi. Trước các chỉ trích này, Cơ quan Công giáo về Phát triển Hải ngoại (CAFOD - Catholic Agency for Overseas Development) đã xuất bản một bài báo thừa nhận chuyện quan hệ tình dục trong nhiều trường hợp là chẳng đặng đừng, và nói rằng bất cứ những biện pháp nào giúp người dân có thể giảm thiểu nguy cơ mang bệnh qua đường tình dục đều đáng được sử dụng.[cần dẫn nguồn]', 'is_supporting': False}]",Linh mục phản đối quan điểm gì?,'nên dùng bao cao su trong việc phòng chống HIV'
"[{'idx': 0, 'title': 'Hà Nội', 'paragraph_text': 'Hà Nội thường được xem như nơi tập trung những tinh hoa văn hóa của miền Bắc và cả Việt Nam. Trong hàng ngàn năm, vị trí kinh đô khiến thành phố này trở thành nơi quy tụ của những nhân vật ưu tú, những thương nhân, những nghệ nhân, những thợ thủ công lành nghề. Họ tới đây lập nghiệp, mang theo những phong tục, tập quán địa phương và tỉnh Hà Nội trở thành mảnh đất tiêu biểu cho nền văn hóa của cả Việt Nam. Những danh nhân, nhân vật của Việt Nam phần đông xuất thân từ những vùng đất khác, nhưng kinh đô Thăng Long thường là nơi họ xây dựng nên sự nghiệp. Môi trường cạnh tranh của đất kinh thành khiến những thương nhân, thợ thủ công trụ vững lại Hà Nội phải là những người xuất sắc, tài năng. Khi những người dân tứ xứ về định cư tại Thăng Long, các phong tục tập quán mà họ mang theo cũng dần thay đổi, tạo nên nét văn hóa của Hà Nội.', 'is_supporting': False}]",Việt Nam với vai trò kinh đô nên có được những con người tài năng nào?,"'những nhân vật ưu tú, những thương nhân, những nghệ nhân, những thợ thủ công lành nghề'"
"[{'idx': 0, 'title': 'Lịch sử Hoa Kỳ', 'paragraph_text': 'Trong thập niên 1780, chính phủ quốc gia có thể giàn xếp được vấn đề về các lãnh thổ phía tây, chúng được các tiểu bang nhượng lại cho Quốc hội Hoa Kỳ và trở thành các lãnh thổ. Với việc những người định cư di dân đến vùng Tây Bắc (hiện nay là vùng Trung Tây Hoa Kỳ), chẳng bao lâu thì các lãnh thổ này trở thành các tiểu bang. Những người theo chủ nghĩa quốc gia lo sợ rằng quốc gia mới quá yếu không thể chịu đựng được một cuộc chiến tranh quốc tế, hay thậm chí là các cuộc nổi loạn trong nước, thí dụ như cuộc nổi loạn Shays năm 1786 tại Massachusetts. Những người theo chủ nghĩa quốc gia mà đa số là các cựu chiến binh đã tổ chức tại mọi tiểu bang và thuyết phục Quốc hội cho mở Hội nghị Philadelphia năm 1787. Các đại biểu từ mỗi tiểu bang cùng viết ra một bản Hiến pháp mới nhằm thiết lập ra một chính phủ trung ương hữu hiệu và mạnh hơn nhiều. Chính phủ này có một tổng thống mạnh và quyền thu thuế. Chính phủ mới phản ánh những ý tưởng cộng hòa đang thắng thế, bảo đảm quyền tự do cá nhân và kiềm chế quyền lực chính phủ bằng một hệ thống tam quyền phân lập.', 'is_supporting': False}]",Tại Massachusetts vào năm 1786 đã giàn xếp một cuộc nổi loạn và đó là cuộc nổi loạn nào?,'cuộc nổi loạn Shays'
"[{'idx': 0, 'title': 'Hồ Quý Ly', 'paragraph_text': 'Sử gia Ngô Sĩ Liên gọi hai cha con họ Hồ là loạn thần tặc tử: Họ Hồ giết Trần Thuận Tông mà cướp lấy nước, những người như Trần (Nguyên) Hãng, Trần Khát Chân mưu giết mà không được. Sau khi họ chết, trong khoảng 7, 8 năm, không còn ai có thể làm được việc ấy nữa. Họ Hồ tự cho là người trong nước không còn ai dám làm gì nữa. Nhưng bọn loạn thần tặc tử thì ai ai cũng có thể giết chết chúng được và trời cũng không một ngày nào tha trừng phạt chúng dưới gầm trời này! Người trong nước giết chúng không được thì ngưoời nước láng giềng có thể giết, người nước láng giềng giết không được thì người Di người Địch có thể giết. Vì thế người Minh mới có thể giết được chúng. Còn như người Minh giả nhân giả nghĩa, sát hại sinh linh thì chính là một bọn giặc tàn bạo. Cho nên Thái Cao Tổ Hoàng Đế ta lại có thể tiêu diệt được bọn chúng.', 'is_supporting': False}]",Ai có thể giết Thái Cao Tổ Hoàng Đế?,'ai ai cũng có thể giết chết chúng được và trời cũng không một ngày nào tha trừng phạt chúng dưới gầm trời này'
"[{'idx': 0, 'title': 'Thiên văn học', 'paragraph_text': 'Thiên văn học sóng hấp dẫn là một ngành mới xuất hiện của thiên văn học, nó có mục đích sử dụng các thiết bị thám sát sóng hấp dẫn để thu thập các dữ liệu quan sát về các vật thể nén. Một số cuộc quan sát đã được tiến hành, như Laser Interferometer Gravitational Observatory LIGO, tuy nhiên các sóng hấp dẫn rất khó quan sát. Sau 100 năm Einstein tiên đoán tồn tại sóng hấp dẫn, LIGO đã thu được trực tiếp tín hiệu sóng hấp dẫn lần đầu tiên từ kết quả hai lỗ đen sáp nhập vào ngày 14 tháng 9 năm 2015, và phát hiện này được Quỹ Khoa học Quốc gia (NSF) thông báo trong cuộc họp báo tổ chức ngày 11 tháng 2 năm 2016. Tín hiệu sóng hấp dẫn thứ hai cũng đo được bởi LIGO vào ngày 26 tháng 12 năm 2015 và có thể thêm nhiều tín hiệu nữa đo được trong tương lai nhưng để phát hiện được sóng hấp dẫn đòi hỏi những thiết bị có độ nhạy rất cao.', 'is_supporting': False}]",Lần thu được tín hiệu của sóng hấp dẫn vào tháng 9 năm 2016 là lần thứ mấy thu được tín hiệu này?,'lần đầu tiên'
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Về sau, Việt Quốc lại phân hóa thành nhiều nhóm khác nhau. Một nhóm đống ý hợp tác với Việt Minh để cùng tham gia chính phủ kháng chiến chống Pháp, ví dụ như Chu Bá Phượng (nguyên là đảng viên Việt Quốc) được giữ chức Bộ trưởng Bộ Kinh tế trong chính phủ kháng chiến. Nhóm kia thì vẫn chống Việt Minh, đến năm 1949 thì nhóm này lại phân hóa thành 2 khuynh hướng: một số chống Bảo Ðại vì quyết giữ lập trường chống Pháp, nhưng số khác lại quay sang hợp tác với Pháp, ủng hộ việc thành lập Quốc gia Việt Nam để cùng Pháp chống Việt Minh. Nhóm hợp tác với Pháp có nhiều người giữ nhiều chức vụ cao trong chính phủ Quốc gia Việt Nam như Nghiêm Xuân Thiện được làm tổng trấn Bắc Kỳ vào năm 1949.', 'is_supporting': False}]",Người nào có chức vụ cao trong chính quyền Pháp nhưng lại hợp tác với Việt Nam để chống lại Việt Minh?,'Nghiêm Xuân Thiện'
"[{'idx': 0, 'title': 'Tầng đối lưu', 'paragraph_text': 'Tầng đối lưu bắt đầu từ bề mặt Trái Đất mở rộng ra đến cao độ 20 km (12 dặm) ở các vùng nhiệt đới, giảm tới khoảng 11 km ở các vĩ độ trung bình, ít hơn 7 km (4 dặm) ở các vùng cực về mùa hè còn trong mùa đông là không rõ ràng. Lớp khí quyển này chiếm khoảng 80% tổng khối lượng của toàn bộ khí quyển, gần như toàn bộ hơi nước và xon khí (aerosol). Trong khu vực tầng đối lưu thì không khí liên tục luân chuyển và tầng này là tầng có mật độ không khí lớn nhất của khí quyển Trái Đất. Nitơ và ôxy là các chất khí chủ yếu có mặt trong tầng này. Tầng đối lưu nằm ngay phía dưới tầng bình lưu. Phần thấp nhất của tầng đối lưu, nơi ma sát với bề mặt Trái Đất ảnh hưởng tới luồng không khí, là lớp ranh giới hành tinh. Lớp này thông thường chỉ dày từ vài trăm mét tới 2 km (1,2 dặm), phụ thuộc vào địa mạo và thời gian của ngày. Ranh giới giữa tầng đối lưu và tầng bình lưu, được gọi là khoảng lặng đối lưu, là nghịch chuyển nhiệt độ.', 'is_supporting': False}]",Các chất khí có nhiều trong tầng bình lưu là gì?,'Nitơ và ôxy'
"[{'idx': 0, 'title': 'Người Do Thái', 'paragraph_text': 'Những làn sóng di cư của người Do Thái đến Hoa Kỳ và những quốc gia khác vào cuối thế kỷ XIX, và sự ra đời của Chủ nghĩa phục quốc Do Thái và các sự kiện tiếp theo sau đó, bao gồm các cuộc tàn sát người Do Thái ở Nga, những vụ thảm sát người Do Thái Châu Âu trong nạn diệt chủng người Do thái Holocaust, và sự hồi sinh của nhà nước Israel, cuộc di dân Do Thái sau đó từ các vùng đất của các quốc gia Ả Rập, tất cả đều dẫn đến những thay đổi đáng kể tác động đến các trung tâm dân cư tập trung nhiều người Do Thái trên toàn thế giới vào cuối thế kỷ XX.', 'is_supporting': False}]",Trước những sự kiện phân biệt người Do Thái ở các nơi là sự ra đời của gì?,'Chủ nghĩa phục quốc Do Thái'
"[{'idx': 0, 'title': 'Edward I của Anh', 'paragraph_text': 'Năm 1254, người Anh lo ngại về một cuộc xâm lược của Castile vào tỉnh Gascony nên cha của Edward đã sắp xếp một cuộc hôn nhân giữa đứa con trai 14 tuổi của mình và Eleanor 13 tuổi, em gái khác mẹ của Alfonso X của Castile. Eleanor và Edward kết hôn vào 1 tháng 11 1254 ở Nhà nguyện Santa María la Real de Las Huelgas thuộc Castile. Một phần của thỏa thuận hôn nhân, hoàng tử trẻ được nhận trợ cấp trị giá 15,000 marks một năm. Mặc dù vua Henry đã gửi một khoản bộng lộc khá lớn, chúng cho Edward một ít sự độc lập. Ông đã được phong đất Gascony đầu 1249, nhưng Simon de Montfort, Bá tước Leicester thứ 6, đã được bổ nhiệm làm Trung úy hoàng gia vào năm trước đó, do vậy, đã lấy hết lợi tức ở đây, cho nên trong thực tế Edward không nhận được gì nhiều từ cả chính quyền và cả từ các nguồn thu trong tỉnh này. Phụ cấp ông nhận được năm 1254 bao gồm phần lớn Ireland, nhiều vùng đất ở Wales và Anh, bao gồm Lãnh địa Bá tước Chester, nhưng nhà vua vẫn giữa lại nhiều quyền kiểm soát đối với những vùng đất đó, đặc biệt ở Ireland, nên quyền lực của Edward bị giới hạn, và nhà vua nhận phần lớn lợi tức từ các vùng đất này.', 'is_supporting': False}]",Lễ đính hôn giữa Edward I và Eleanor diễn ra ở đâu?,'ở Nhà nguyện Santa María la Real de Las Huelgas thuộc Castile'
"[{'idx': 0, 'title': 'Bắc Phi', 'paragraph_text': 'Bắc Phi trước đây có một số lượng dân Do Thái khá lớn, rất nhiều người trong số đó di cư sang Pháp hoặc Israel khi các quốc gia Bắc Phi giành được độc lập. Một số nhỏ hơn di cư sang Canada. Trước khi nhà nước Israel hiện đại được thành lập, có khoảng 600.000 đến 700.000 người Do Thái ở Bắc Phi, bao gồm người Sfardīm (những cư dân di cư từ Pháp, Tây Ban Nha và Bồ Đào Nha từ thời Phục hưng) cũng như người Do Thái Mizrāhîm bản xứ. Ngày nay, chỉ còn không tới 15.000 người Do Thái trong vùng, hầu hết sống ở Maroc và Tunisia.', 'is_supporting': False}]","Sau độc lập của các quốc gia Bắc Phi, những nước nào có số lượng người Canada nhập cư nhiều nhất?",'Pháp hoặc Israel'
"[{'idx': 0, 'title': 'Dân chủ trực tiếp', 'paragraph_text': 'Ở Thụy Sĩ, đa số đơn (single majorities) có thẩm quyền ở cấp thành thành thị và tiểu bang (canton và bán canton), nhưng ở cấp trung ương, đa số kép (double majorities) phải có trong những vấn đề có liên quan tới hiến pháp. Mục đích của đa số kép chỉ để bảo đảm cho tính hợp pháp của các luật do nhân dân lập ra. Trước hết, đa số kép là sự tán thành bởi đa số phiếu và tiếp theo là đa số ở cấp tiểu bang nơi đa số phiếu đó đồng ý với cách thức bỏ phiếu. Một luật do công dân đề xướng không thể nào được thông qua ở Thụy Sĩ ở cấp trung ương nều một nhóm đa số người dân tán thành nhưng đa số của các tiểu bang không tán thành (Kobach, 1993). Để trưng cầu dân ý hay đề xướng trong những điều khoản chung thì đa số phiếu bầu là đã đủ (Hiến pháp Thụy Sĩ, 2005).', 'is_supporting': False}]",Luật do người Thụy Sĩ đề xuất mà không được bổ sung trong điều kiện như thế nào?,'một nhóm đa số người dân tán thành nhưng đa số của các tiểu bang không tán thành'
"[{'idx': 0, 'title': 'Cuba', 'paragraph_text': 'Cộng đồng Cuba hải ngoại tại Hoa Kỳ đã phát triển về số lượng, tài sản và sức mạnh và đã chính trị hóa các yếu tố để ngăn cản sự bình thường hóa quan hệ của Hoa Kỳ với Cuba. Tuy nhiên, những nỗ lực của người Cuba hải ngoại nhằm thành lập một phong trào chống Castro bên trong Cuba, không mang lại nhiều thành công. Chủ nhật, ngày 6 tháng 4 năm 1980, 7.000 người Cuba lao vào đại sứ quán Peru tại La Habana xin tị nạn chính trị. Một trong những người đã vào đại sứ quán kể lại những trải nghiệm của mình trong ""Những ngày tại Đại sứ quán"" (xuất bản mùng 8 tháng 6 năm 2007). Thứ hai ngày 7 tháng 4, chính phủ Cuba cho phép những người Cuba tị nạn trong Đại sứ quán Peru được di cư. Ngày 16 tháng 4 500 công dân Cuba rời Đại sứ quán Peru tới Costa Rica. Ngày 21 tháng 4 nhiều người trong số đó bắt đầu tới Miami bằng thuyền tư nhân và được Bộ ngoại giao Mỹ cứu trợ ngày 23 tháng 4. Tuy nhiên, cuộc di tản bằng tàu vẫn tiếp tục, bởi Castro cho phép bất kỳ ai muốn rời đất nước được ra đi tại cảng Mariel và cuộc di tản này đã được gọi là Sự kiện Mariel. Tổng cộng, hơn 125.000 người Cuba đã di cư sang Hoa Kỳ trước khi làn sóng tàu di cư chấm dứt ngày 15 tháng 6.', 'is_supporting': False}]",Sau một ngày xảy ra sự kiện tại chính quyền Cuba thì đại sứ quán Peru đã có quyết định gì?,'cho phép những người Cuba tị nạn trong Đại sứ quán Peru được di cư'
"[{'idx': 0, 'title': 'Trung Hoa Dân Quốc (1912-1949)', 'paragraph_text': 'Đảng Cộng sản Trung Quốc được thành lập vào ngày 23 tháng 7 năm 1921 tại Nam Hồ, Gia Hưng, Chiết Giang, thời kỳ đầu lập đảng họ hợp tác với Quốc Dân đảng ""phản đế phản phong kiến"". Sau khi Tôn Trung Sơn từ trần vào năm 1925, Quốc-Cộng hợp tác dần bất ổn định. Ngày 12 tháng 4 năm 1927, Tưởng Giới Thạch thực thi ""thanh đảng"", phái hữu trong Quốc Dâng đảng chính thức đoạn tuyệt với Đảng Cộng sản Trung Quốc. Ngày 1 tháng 8 năm 1927, Đảng Cộng sản Trung Quốc phát động Khởi nghĩa Nam Xương, ngày 28 tháng 4 năm 1928 Hồng quân của Mao Trạch Đông và Chu Đức hội quân tại Tỉnh Cương Sơn, dần lập khu xô viết tại tại các khu vực giáp giới như miền nam Giang Tây, miền tây Phúc Kiến, trải qua năm lần Quốc Dân đảng vây diệt trong giai đoạn 1930-1933, và Trường chinh trong giai đoạn 1934-1936, cuối cùng giành được thắng lợi trong Quốc-Cộng nội chiến, kết thúc thời kỳ thống trị của Trung Quốc Quốc Dân đảng tại Đại lục, lập ra nước Cộng hòa Nhân dân Trung Hoa.', 'is_supporting': False}]",Tỉnh Cương Sơn chính là nơi đoạn tuyệt của những ai?,'Mao Trạch Đông và Chu Đức'
"[{'idx': 0, 'title': 'Vườn quốc gia Phong Nha - Kẻ Bàng', 'paragraph_text': 'Tên gọi vườn quốc gia này ghép từ hai thành phần: tên động Phong Nha và tên khu vực rừng núi đá vôi Kẻ Bàng. Động Phong Nha trước đây thường được xem là động lớn và đẹp nhất trong quần thể hang động này. Có ý kiến giải thích cho rằng nguồn gốc tên gọi Phong Nha có nghĩa là gió (chữ Hán: 風 phong) răng (chữ Hán: 牙 nha) (gió thổi từ trong động, nhũ đá tua tủa như hàm răng); nhưng ý kiến khác lại cho rằng Phong Nha có nghĩa là tên ngôi làng gần đấy chứ không có nghĩa là gió và răng như vẫn thường được giải thích. Theo Lê Quý Đôn thì Phong Nha là tên một làng miền núi ngày xưa (nay là thôn Phong Nha, xã Sơn Trạch, huyện Bố Trạch). Có ý kiến khác lại cho rằng tên gọi Phong Nha không phải xuất phát từ ý nghĩa răng và gió, mà từ hình ảnh những ngọn núi nằm thành từng dãy đều đặn như hình ảnh các quan đứng thành hàng trên sân chầu hay ở quan thự, người ta đã lấy chữ Phong Nha theo chữ Hán (chữ 峰 phong nghĩa là đỉnh núi, 衙 nha có nghĩa là quan lại) để đặt tên cho động Phong Nha.', 'is_supporting': False}]",Hai thành phần gì ghép nên tên gọi quốc gia của vườn Phong Nha-Kẻ Bàng?,'tên động Phong Nha và tên khu vực rừng núi đá vôi Kẻ Bàng'
